update,env_steps,episodic_return,total_loss,value_loss,actor_loss,entropy,task_reward_mean,task_reward_std,goal_reward_mean,goal_reward_std,task_reward_running_mean,task_reward_running_std,goal_reward_running_mean,goal_reward_running_std,learning_rate,obs_norm_mean,obs_norm_var,train_goal_success_rate,rnd_reward_mean,rnd_reward_std,rnd_raw_intrinsic_mean,rnd_rew_running_std,rnd_predictor_loss,icm_reward_mean,icm_reward_std,icm_raw_intrinsic_mean,icm_rew_running_std,icm_loss,eval_success_rate,eval_episodic_return,eval_oracle_return,LR,NUM_ENVS,NUM_STEPS,TOTAL_TIMESTEPS,UPDATE_EPOCHS,NUM_MINIBATCHES,GAMMA,GAE_LAMBDA,CLIP_EPS,ENT_COEF,VF_COEF,HIDDEN_DIM,MAX_GRAD_NORM,ACTIVATION,ENV_NAME,ENV_BACKEND,EPISODE_LENGTH,ACTION_REPEAT,ENV_KWARGS,ANNEAL_LR,NORMALIZE_ENV,DEBUG,SEED,WANDB_MODE,ENTITY,PROJECT,EVAL_RENDER_STEPS,EVAL_RENDER_MAX_FRAMES,EVAL_RENDER_HEIGHT,EVAL_RENDER_LOG_WANDB_HTML,TRAIN_RENDER_FREQ,EVAL_FREQ,EVAL_NUM_ENVS,COMMENT,ADD_GOAL_REWARD,USE_ORACLE_REWARD,ORACLE_REWARD_COEF,CONDITION_ON_GOAL,GOAL_REACH_EPSILON,SAVE_MODEL,checkpoint_dir,USE_RND,RND_COEF,RND_LR,RND_HIDDEN_DIM,RND_OUTPUT_DIM,USE_ICM,ICM_COEF,ICM_LR,ICM_HIDDEN_DIM,ICM_FEATURE_DIM,ICM_BETA,TASK_REWARD_COEF,LOG_CSV,CSV_LOG_FREQ,GPU_NAME,EXP_DIR,run_id
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
10,5120,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
15,8192,0.0,-0.0522277913987636,0.0014087060699239,-0.052932146936655,11.32179355621338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002999539428856,0.9001733064651489,5.558577060699463,0.0,,,,,,,,,,,,,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
20,10240,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
30,15360,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
31,16384,0.0,-0.0364901609718799,0.0004778871079906,-0.0367291048169136,11.232011795043944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002999047865159,0.9046446084976196,5.582366943359375,0.0,,,,,,,,,,,,,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
40,20480,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
46,24064,0.0,-0.0470993816852569,0.0002713996509555,-0.047235082834959,11.124942779541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002998586860485,0.8921444416046143,5.589781284332275,0.0,,,,,,,,,,,,,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
50,25600,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
60,30720,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
62,32256,0.0,-0.0430604219436645,0.000208598023164,-0.0431647151708602,11.104424476623535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002998095296788,0.9059336185455322,5.605502605438232,0.0,,,,,,,,,,,,,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
70,35840,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
78,40448,0.0,-0.0375832244753837,0.0001460243947803,-0.0376562401652336,11.041542053222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000299760402413,0.9024333357810974,5.574190616607666,0.0,,,,,,,,,,,,,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
80,40960,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
90,46080,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
93,48128,0.0,-0.0476972199976444,9.018473792821168e-05,-0.047742310911417,10.983428955078123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002997143310494,0.9006272554397583,5.590065002441406,0.0,,,,,,,,,,,,,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
100,51200,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
109,56320,0.0,-0.041906151920557,5.82536740694195e-05,-0.0419352799654006,11.02750015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002996651746798,0.9084829092025756,5.566779136657715,0.0,,,,,,,,,,,,,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
110,56320,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
120,61440,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
124,64000,0.0,-0.0404473170638084,3.830798596027307e-05,-0.0404664725065231,11.046136856079102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002996190742123,0.9058167934417723,5.474515914916992,0.0,,,,,,,,,,,,,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
